Description;Vendor;Amount Paid;Type;Expense type (CF)
Bank fee for a payment order 31 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 31 in UZS;NBU OF UZBEKISTAN;1 829 298;Cashbook;
Bank fee for a payment order 32 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 33 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 79 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Accounting services;Mazars Advisory LLC;19 093 711;AP;Accounting Services 
Bank fee for a payment order 79 in UZS;NBU OF UZBEKISTAN;95 469;Cashbook;
Conversion EUR to UZS;NBU OF UZBEKISTAN; (800 590 000);Cashbook;
Salary payment;A&M ;595 249 242;Payroll 1;Payroll
Salary payment_Toporov;A&M ;46 157 118;Payroll 1;Payroll
Salary tax_PIT _Toporov;A&M ;2 946 199;Payroll 1;Payroll
Salary tax_social security contribution _Toporov;A&M ;5 892 398;Payroll 1;TAXES - Payroll
Salary payment;A&M ;80 835 364;Payroll 1;Payroll
Bank fee for a payment order 85 in UZS;NBU OF UZBEKISTAN;47 553;Cashbook;
legal services;SCHNEIDER GROUP Uzbekistan;47 553 000;AP;Legal & Tax consulting Fees
legal services;CENTIL;16 531 500;AP;Legal & Tax consulting Fees
Bank fee for a payment order 89 in UZS;NBU OF UZBEKISTAN;82 658;Cashbook;
Bank fee for a payment order 89 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
travel expenses -tickets;LANGO TRADING LLC;48 534 692;AP;Travel&Transport
Bank fee for a payment order 86 in UZS;NBU OF UZBEKISTAN;242 673;Cashbook;
Bank fee for a payment order 86 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
service fees;LANGO TRADING LLC;300 000;AP;Travel&Transport
Bank fee for a payment order 88 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
travel expenses -hotels;LANGO TRADING LLC;2 442 000;AP;Travel&Transport
Bank fee for a payment order 88 in UZS;NBU OF UZBEKISTAN;12 210;Cashbook;
Bank fee for a payment order 87 in UZS;NBU OF UZBEKISTAN;1 500;Cashbook;
Bank fee for a payment order 87 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Conversion EUR to UZS;NBU OF UZBEKISTAN; (307 692 000);Cashbook;
Tender participation;JV XT-Xarid Texnologiyalari LTD;218 000 000;AP;Tenders' participation
Bank fee for a payment order 90 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 90 in UZS;NBU OF UZBEKISTAN;1 090 000;Cashbook;
Conversion EUR to UZS;NBU OF UZBEKISTAN; (3 533 690 000);Cashbook;
Salary payment;A&M ;2 689 622 872;AP;Payroll
Expenses reimbursement_Anton Avazhanskiy;A&M ;5 680 400;AP;Reimbursment exp
Bank fee for a payment order 91 in UZS;NBU OF UZBEKISTAN;218 273;Cashbook;
Bank fee for a payment order 91 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Accounting services;MAZARS ADVISORY LLC;43 654 603;AP;Accounting Services 
Bank fee for a payment order 93 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Salary tax_PIT ;A&M ;340 937 189;AP;Payroll
Salary tax_social security contribution;A&M ;460 862 960;AP;TAXES - Payroll
Bank fee for a payment order 94 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
BD expense;FRENCH PASTRY LLC;534 000;AP;Business Development 
BD expense;BISTECCA LLC;2 558 050;AP;Business Development 
BD expense;SIROVARNYA SUPER LLC;1 016 000;AP;Business Development 
BD expense;SIROVARNYA SUPER LLC;966 000;AP;Business Development 
BD expense;BESHYOGOCH QAHVA LLC;1 080 000;AP;Business Development 
BD expense;BISTECCA LLC;4 686 000;AP;Business Development 
Transfer from UZS account to Corp Card;NBU OF UZBEKISTAN;10 000 000;Cashbook;
Bank fee for a payment order 96 in UZS;NBU OF UZBEKISTAN;50 000;Cashbook;
Expenses reimbursement_GOROKHOVA SVETLANA OLEGOVNA;A&M;2 000 000;Exps;Reimbursment exp
Expenses reimbursement_LIKHACHEVA EVGENIYA ALEKSANDROVNA;A&M;575 490;Exps;Reimbursment exp
Expenses reimbursement_KHARCHENKO DENIS ALEKSANDROVICH ;A&M;465 648;Exps;Reimbursment exp
Expenses reimbursement_KINEV PAVEL ALEKSANDROVICH;A&M;209 834;Exps;Reimbursment exp
Expenses reimbursement_FEDOTOV PAVEL ALEKSEEVICH;A&M;1 249 088;Exps;Reimbursment exp
Vacation payment_KHODAKOVSKIY YAROSLAV XXX;A&M;12 895 674;Payroll 1;Payroll
Conversion EUR to UZS;NBU OF UZBEKISTAN; (16 752 000);Cashbook;
Refund of payment_Salary tax_PIT;A&M; (2 946 199);Payroll 1;Payroll
Refund of payment_Salary tax_PIT;A&M; (1 281 038);Payroll 1;Payroll
Refund of payment_Salary tax_PIT;A&M; (4 611 360);Payroll 1;TAXES - Payroll
Travel expenses;Lango Trading LLC;700 000;AP;Travel&Transport
Travel expenses;Lango Trading LLC;10 910 000;AP;Travel&Transport
Travel expenses;Lango Trading LLC;78 515 699;AP;Travel&Transport
Bank fee for a payment order 107 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 106 in UZS;NBU OF UZBEKISTAN;3 500;Cashbook;
Bank fee for a payment order 106 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 105 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 105 in UZS;NBU OF UZBEKISTAN;54 550;Cashbook;
Bank fee for a payment order 107 in UZS;NBU OF UZBEKISTAN;392 579;Cashbook;
Taxi services;MyTaxi;60 660;AP;Travel&Transport
Bank fee for a payment order 103 in UZS;NBU OF UZBEKISTAN;3 033;Cashbook;
Bank fee for a payment order 104 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 104 in UZS;NBU OF UZBEKISTAN;303;Cashbook;
Taxi services;MyTaxi;606 600;AP;Travel&Transport
Bank fee for a payment order 103 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 109 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Salary tax_PIT;A&M;1 381 436;Payroll 1;Payroll
Bank fee for a payment order 110 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Salary tax_Social security contribution;A&M;1 381 436;Payroll 1;TAXES - Payroll
Currency Exchange EUR/UZS;NBU OF UZBEKISTAN; (16 684 500);Cashbook;
Currency Exchange EUR/UZS;NBU OF UZBEKISTAN; (94 545 500);Cashbook;
Salary payment_BALASANOV GEORGY ARMENOVICH;A&M;10 130 532;Payroll 1;Payroll
Subletting agreement _ 40__-___  10.06.2022_;A&M PE UZB; (6 457 552);AR;Office rent 
Currency Exchange EUR/UZS;NBU OF UZBEKISTAN; (219 740 000);Cashbook;
Currency Exchange EUR/UZS;NBU OF UZBEKISTAN; (1 757 920 000);Cashbook;
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;96 556 846;Cashbook;Payroll
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;116 574 804;Cashbook;Payroll
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;693 253 333;Cashbook;Payroll
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;5 873 182;Cashbook;Payroll
Transfer from UZS Salary  to UZS Account;A&M;0;Payroll 1;Payroll
Salary tax_Social security contribution;A&M;449 865 903;Payroll 1;TAXES - Payroll
Salary tax_PIT;A&M;800 888;Payroll 1;Payroll
Internet;Uzbektelecom;20 320 000;AP;Telephone, internet
Bank fee for order 131 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for order 130 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for order 132 in UZS;NBU OF UZBEKISTAN;101 600;Cashbook;
Bank fee for order 132 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for order 124 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Work permit_Sosnin;Public Services Center Yunusobod;270 000;AP;Work permits
Salary tax_PIT;A&M;8 438 682;Payroll 1;Payroll
Bank fee for order 126 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for order 125 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Salary tax_Social security contribution;A&M;12 599 463;Payroll 1;TAXES - Payroll
Bank fee for order 127 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for order 129 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Salary tax_PIT;A&M;557 489 889;Payroll 1;Payroll
Salary tax_Social security contribution;A&M;14 881 890;Payroll 1;TAXES - Payroll
