Description;Vendor;Amount Paid;Type;Expense type (CF)
certification services;Uzbek Center for Scientific Teasting and Quality Control;5 316 030;AP;Fixed assets purchase
Bank fee for a payment order 284 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 284 in UZS;NBU OF UZBEKISTAN;26 580;Cashbook;
Refund of payment;Best Expert Result; (5 316 030);AP;Fixed assets purchase
travel expenses-hotels;Lango;20 054 600;AP;Travel&Transport
Bank fee for a payment order 286 in UZS;NBU OF UZBEKISTAN;100 273;Cashbook;
Bank fee for a payment order 286 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 288 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 287 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 288 in UZS;NBU OF UZBEKISTAN;392 223;Cashbook;
travel expenses-service fees;Lango;100 000;AP;Travel&Transport
travel expenses-tickets;Lango;78 444 602;AP;Travel&Transport
Bank fee for a payment order 287 in UZS;NBU OF UZBEKISTAN;500;Cashbook;
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;4 886 129;Cashbook;
Currency exchange EUR/UZS;NBU OF UZBEKISTAN; (1 332 500 000);Cashbook;
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;939 676 547;Cashbook;Payroll
Bank fee for a payment order 289 in UZS;NBU OF UZBEKISTAN;13 200;Cashbook;
parking services;OOO Invest Assets Plus;2 640 000;AP;Office rent 
Bank fee for a payment order 289 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 290 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 290 in UZS;NBU OF UZBEKISTAN;15 000;Cashbook;
cleaning services (September);OOO Invest Assets Plus;3 000 000;AP;Office rent 
Bank fee for a payment order 294 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Salary tax_Social security contribution;A&M;189 115 000;Payroll 1;TAXES - Payroll
Bank fee for a payment order 291 in UZS;NBU OF UZBEKISTAN;788 487;Cashbook;
Bank fee for a payment order 291 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Rent Paid;OOO Invest Assets Plus;157 697 492;AP;Office rent 
Salary tax_PIT;A&M;37 700 000;Payroll 1;TAXES - Payroll
Bank fee for a payment order 293 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Subletting agreement _ 40__-___  10.06.2022_;A&M PE UZB; (12 919 893);AR;Office rent 
Entertainment_Mohamed Al Lawati;ALLIANCE BAKERY;623 700;AP;Business Development 
Supplies Kitchen ;ANGLESEY FOOD DP LLC;53 470;AP;Office supply
Supplies Kitchen ;YATT PAK SERGEY VLADIMIROVICH;500 000;AP;Office supply
Supplies Kitchen ;Home Garden LLC;462 600;AP;Office supply
Supplies Kitchen ;YATT TURSUNOV MUROD XAKIM;560 775;AP;Office supply
Supplies Kitchen ;YATT TURSUNOV MUROD XAKIM;832 275;AP;Office supply
Supplies Kitchen ;HOME DEPOT BUILDINGS;18 000;AP;Office supply
Office supplies_first aid kit;ANVAR  FARMSERVIS;1 210 000;AP;Office supply
Supplies Kitchen ;HOME DEPOT BUILDINGS;151 410;AP;Office supply
Supplies Kitchen ;DOSTLAR BIZNES GROUP LLC;267 000;AP;Office supply
Supplies Kitchen ;GOLD MIRACLE;471 000;AP;Office supply
Supplies Kitchen ;ANGLESEY FOOD DP LLC;423 750;AP;Office supply
Supplies Kitchen ;ANGLESEY FOOD DP LLC;320 890;AP;Office supply
Supplies Kitchen ;YATT SIDIKXODJAYEV NAZIRXON;860 000;AP;Office supply
Office supplies;ASIA CLEAN CENTER LLC;335 000;AP;Office supply
consulting servises_Kouznetsov;A&M;8 800;Payroll 1;Subcontractors
Currency exchange EUR/UZS;NBU OF UZBEKISTAN;18 000;Cashbook;
Currency exchange EUR/UZS;NBU OF UZBEKISTAN;25 000;Cashbook;
Currency exchange EUR/UZS;NBU OF UZBEKISTAN;15 000;Cashbook;
Bank fee on foreign banks;NBU OF UZBEKISTAN;7;Cashbook;
Currency exchange EUR/UZS;NBU OF UZBEKISTAN;125 000;Cashbook;
Refund Salary tax_Social security contribution;A&M; (25 623 871);Payroll 1;TAXES - Payroll
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;1 602 363;Cashbook;Reimbursment exp
Bank fee for a payment order 297 in UZS;NBU OF UZBEKISTAN;5 411;Cashbook;
Bank fee for a payment order 298 in UZS;NBU OF UZBEKISTAN;595;Cashbook;
apartment rent (Samutichev);Najmiddinova Mekhrigul;4 316 657;AP;Business Development 
apartment rent (Chuykov);Zoirova Surayyo;594 569;AP;Business Development 
apartment rent (Chuykov);Zoirova Surayyo;5 411 264;AP;Business Development 
Bank fee for a payment order 299 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 301 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 300 in UZS;NBU OF UZBEKISTAN;7 121;Cashbook;
Bank fee for a payment order 300 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 299 in UZS;NBU OF UZBEKISTAN;21 583;Cashbook;
accounting services in October 2022;MAZARS ADVISORY LLC __ Ê;43 654 603;AP;Accounting Services 
apartment rent (Samutichev);Najmiddinova Mekhrigul;1 424 117;AP;Business Development 
Bank fee for a payment order 301 in UZS;NBU OF UZBEKISTAN;218 273;Cashbook;
Refund Salary tax_Social security contribution;A&M; (146 996 129);Payroll 1;TAXES - Payroll
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;9 461 680;Cashbook;Payroll
Bank fee for a payment order 302 in UZS;NBU OF UZBEKISTAN;139 358;Cashbook;
Conferences- Other;CONGRESSES OF CENTRAL ASIA LLC;27 871 526;AP;Business Development 
Bank fee for a payment order 302 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
