Description,Vendor,Type,Expense type (CF)
Bank fee for a payment order 304 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 305 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 306 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 310 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 311 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 309 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 312 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 313 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 314 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Conferences- Other (Avajansky),dfs,AP,Business Development 
BD expense ,NAVOIY TINCH TEKSTIL LLC,AP,Business Development 
BD expense,CHECKPOINT TIME LLC,AP,Business Development 
BD expense,HANOK HOUSE LLC,AP,Business Development 
BD expense,FRENCH PASTRY LLC,AP,Business Development 
BD expense,BISTECCA LLC,AP,Business Development 
BD expense,SIROVARNYA SUPER LLC,AP,Business Development 
BD expense,BESHYOGOCH QAHVA LLC,AP,Business Development 
BD meal (Rakhmanov Abu Dhabi Uzbek investment),LLC Sakura City,AP,Business Development 
BD meal (Nefediev PWC),Kurant LLC,AP,Business Development 
Team meeting,ARROWS CORNER,AP,Business Development 
apartment rent (Samutichev),Najmiddinova Mekhrigul,AP,Business Development 
apartment rent (Chuykov),Zoirova Surayyo,AP,Business Development 
Entertainment Mohamed Al Lawati,ALLIANCE BAKERY,AP,Business Development 
Conferences- Other,CONGRESSES OF CENTRAL ASIA LLC,AP,Business Development 
Network hardware,COMPUTER COMPONENTS,AP,Fixed assets purchase
Prepayment for customs clearance,A&M,Cashbook,Fixed assets purchase
Office supply (furniture),A&M CIS LLP (Moscow Branch),AP,Fixed assets purchase
customs broker services,Infinitive Vector,AP,Fixed assets purchase
Office supply (furniture),Improve LLC,AP,Fixed assets purchase
Office supply (furniture),Eurollo,AP,Fixed assets purchase
office furniture certification,Best Expert Result,AP,Fixed assets purchase
Consulting services,Best Expert Result,AP,Fixed assets purchase
certification services,Uzbek Center for Scientific Teasting and Quality Control,AP,Fixed assets purchase
Refund of payment,Best Expert Result,AP,Fixed assets purchase
Office supplies - corporate mobile phone,MEDIAPARK GROUP LLC,AP,Information Technology 
Office supplies - printer,MEDIAPARK GROUP LLC,AP,Information Technology 
network hardware,COMPUTER COMPONENTS,AP,Information Technology 
Legal services,CENTIL,AP,Legal & Tax consulting Fees
legal services,SCHNEIDER GROUP Uzbekistan,AP,Legal & Tax consulting Fees
Consultung services,CENTIL,AP,Legal & Tax consulting Fees
Consulting services,Shneider Group,AP,Legal & Tax consulting Fees
Rent Paid - Office,Invest Assets Plus LLC,AP,Rent 
Subletting agreement _ 40__-___  10.06.2022_,A&M PE UZB,AR,Rent 
Rent Paid,OOO Invest Assets Plus,AP,Rent 
Real estate market analysis in Tashkent,Cushman and Wakefield,AP,Rent 
parking services,OOO Invest Assets Plus,AP,Rent 
cleaning services (September),OOO Invest Assets Plus,AP,Rent 
Office supplies ,PERSPECTIVE TRADE LLC,AP,Office supply
Printing & Photocopying outside,Intach DI LLC,AP,Office supply
Office supplies,KANSTIK LLC,AP,Office supply
Office supplies - telefon,MEDIAPARK GROUP LLC,AP,Office supply
Printing & Photocopying outside,Printuz,AP,Office supply
Supplies Kitchen,Shaffof Servis,AP,Office supply
Supplies Kitchen,Premium Tea Group ,AP,Office supply
Office supply ,Kansler LLC,AP,Office supply
Supplies Kitchen ,NEXT ARTIFICIAL SOLUTIONS,AP,Office supply
Office supplies,UNIVERSAL HOME,AP,Office supply
Office supplies- vacuum cleaner,ATE LLC,AP,Office supply
Supplies Kitchen,ANGLESEY FOOD DP LLC,AP,Office supply
Supplies Kitchen ,Mediapark Group LLC,AP,Office supply
Supplies Kitchen ,Dostlar Biznes Group,AP,Office supply
Supplies Kitchen ,YATT PAK SERGEY VLADIMIROVICH,AP,Office supply
Supplies Kitchen ,Home Garden LLC,AP,Office supply
Supplies Kitchen ,Majid Al Futtaim LLC,AP,Office supply
Supplies Kitchen ,HOTPOINT STORE,AP,Office supply
Supplies Kitchen ,Strou City Plus LLC,AP,Office supply
Supplies Kitchen ,ANGLESEY FOOD DP LLC,AP,Office supply
Supplies Kitchen ,YATT TURSUNOV MUROD XAKIM,AP,Office supply
Supplies Kitchen ,HOME DEPOT BUILDINGS,AP,Office supply
Office supplies first aid kit,ANVAR  FARMSERVIS,AP,Office supply
Supplies Kitchen ,DOSTLAR BIZNES GROUP LLC,AP,Office supply
Supplies Kitchen ,GOLD MIRACLE,AP,Office supply
Supplies Kitchen ,YATT SIDIKXODJAYEV NAZIRXON,AP,Office supply
Office supplies,ASIA CLEAN CENTER LLC,AP,Office supply
Supplies Kitchen,Silver Water Dispenser,AP,Office supply
Printer - Supplies,COMPUTER COMPONENTS,AP,Office supply
Salary payment Avajansky Anton,A&M,Payroll 1,Payroll
Salary tax PIT  Avazhanskiy Anton,A&M ,Payroll 1,Payroll
Salary payment,A&M ,Payroll 1,Payroll
Salary payment Toporov,A&M ,Payroll 1,Payroll
Salary tax PIT  Toporov,A&M ,Payroll 1,Payroll
Salary payment,A&M ,AP,Payroll
Salary tax PIT ,A&M ,AP,Payroll
Vacation payment KHODAKOVSKIY YAROSLAV XXX,A&M,Payroll 1,Payroll
Refund of payment Salary tax PIT,A&M,Payroll 1,Payroll
Salary tax PIT,A&M,Payroll 1,Payroll
Salary payment BALASANOV GEORGY ARMENOVICH,A&M,Payroll 1,Payroll
Transfer from UZS account to UZS Salary,NBU OF UZBEKISTAN,Cashbook,Payroll
Transfer from UZS Salary  to UZS Account,A&M,Payroll 1,Payroll
Penalties PIT,A&M,Cashbook,Payroll
Refund Salary tax PIT,A&M,Payroll 1,Payroll
Team meeting meal,EXTRA KITCHEN GROUP,AP,Business Development
BD meal(Latipov Davidov NMMC),NAVOIY TINCH TEKSTIL,AP,Business Development
BD meal(Avesta Srapionov),Bistecca LLC,AP,Business Development
BD meal(Djurabekov Minenergy),Extra Kitchen Group LLC,AP,Business Development
Recruiting Agency Fees,HEL-DEN LLC,AP,Recruitment
Recruiting Agency Fees,Hel Den LLC,AP,Recruitment
Expenses reimbursement Anton Avazhanskiy,A&M ,AP,Reimbursment exp
Expenses reimbursement GOROKHOVA SVETLANA OLEGOVNA,A&M,Exps,Reimbursment exp
Expenses reimbursement LIKHACHEVA EVGENIYA ALEKSANDROVNA,A&M,Exps,Reimbursment exp
Expenses reimbursement KHARCHENKO DENIS ALEKSANDROVICH ,A&M,Exps,Reimbursment exp
Expenses reimbursement KINEV PAVEL ALEKSANDROVICH,A&M,Exps,Reimbursment exp
Expenses reimbursement FEDOTOV PAVEL ALEKSEEVICH,A&M,Exps,Reimbursment exp
Transfer from UZS account to UZS Salary,NBU OF UZBEKISTAN,Cashbook,Reimbursment exp
Salary tax PIT Anastasyev,A&M,Payroll 1,Subcontractors
consulting services Anastasyev,A&M,Payroll 1,Subcontractors
consulting servises Kouznetsov,A&M,Payroll 1,Subcontractors
Salary tax social security contribution  Avazhanskiy Anton,A&M ,Payroll 1,TAXES - Payroll
Salary tax social security contribution  Toporov,A&M ,Payroll 1,TAXES - Payroll
Salary tax social security contribution,A&M ,AP,TAXES - Payroll
Refund of payment Salary tax PIT,A&M,Payroll 1,TAXES - Payroll
Salary tax Social security contribution,A&M,Payroll 1,TAXES - Payroll
Salary tax Social security contribution Anastasyev,A&M,Payroll 1,TAXES - Payroll
Refund Salary tax Social security contribution,A&M,Payroll 1,TAXES - Payroll
Salary tax PIT,A&M,Payroll 1,TAXES - Payroll
Transfer from UZS account to UZS Salary,NBU OF UZBEKISTAN,Cashbook,TAXES - Payroll
VAT,A&M,Cashbook,TAXES - VAT
VAT tax agent,A&M,Cashbook,TAXES - VAT
_ellular services,COSCOM LLC,AP,"Telephone, internet"
Internet,Uzbektelecom,AP,"Telephone, internet"
mobile phone services,COSCOM LLC,AP,"Telephone, internet"
Commission for participation in electronic trading,Uzbek Republican Commodity and Raw Materials Exchange,AP,Tenders' participation
Tender participation,"JV ""XT-Xarid Texnologiyalari"" LTD",AP,Tenders' participation
Refund of payment for tender participation ,"JV ""XT-Xarid Texnologiyalari""LTD",AP,Tenders' participation
travel expenses -tickets,LANGO TRADING LLC,AP,Travel&Transport
service fees,LANGO TRADING LLC,AP,Travel&Transport
travel expenses -hotels,LANGO TRADING LLC,AP,Travel&Transport
Travel expenses,Lango Trading LLC,AP,Travel&Transport
Taxi services,MyTaxi,AP,Travel&Transport
travel expenses-hotels,Lango Trading LLC,AP,Travel&Transport
travel expenses service fees,Lango Trading LLC,AP,Travel&Transport
travel expenses-tickets,Lango Trading LLC,AP,Travel&Transport
travel expenses-tickets,Lango,AP,Travel&Transport
travel expenses service fees,Lango,AP,Travel&Transport
travel expenses-hotels,Lango,AP,Travel&Transport
Printing & Photocopying outside,Printuz,AP,Travel&Transport
taxi services,My Taxi,AP,Travel&Transport
travel expenses-service fees,Lango,AP,Travel&Transport
Work permit  fees Alexeychuk Maxim,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Balasanov Georgy,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Gorokhova Svetlana,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Zakharov Nikita,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Velikhanova,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Gabueva,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Nuretdinov Oleg,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Petelin Nikita,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Pyaterneva Nataliya,Public Services Center Yunusobod,AP,Work permits
