,Description,Vendor,Type,Expense type (CF),Category_ML
81,Bank fee for a payment order 78 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
82,Bank fee for a payment order 31 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
83,Bank fee for a payment order 32 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
84,Bank fee for a payment order 33 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
85,Bank fee for a payment order 79 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
86,Bank fee for a payment order 85 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
87,Bank fee for a payment order 89 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
88,Bank fee for a payment order 86 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
89,Bank fee for a payment order 88 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
90,Bank fee for a payment order 87 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
91,Bank fee for a payment order 90 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
92,Bank fee for a payment order 91 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
93,Bank fee for a payment order 93 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
94,Bank fee for a payment order 94 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
95,Bank fee for a payment order 96 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
96,Bank fee for a payment order 107 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
97,Bank fee for a payment order 106 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
98,Bank fee for a payment order 105 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
99,Bank fee for a payment order 103 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
100,Bank fee for a payment order 104 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
101,Bank fee for a payment order 109 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
102,Bank fee for a payment order 110 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
103,Currency Exchange EUR UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
104,Bank fee for order 131 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
105,Bank fee for order 130 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
106,Bank fee for order 132 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
107,Bank fee for order 124 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
108,Bank fee for order 126 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
109,Bank fee for order 125 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
110,Bank fee for order 127 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
111,Bank fee for order 129 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
112,Bank fee for order 128 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
113,Currency Exchange EUR UZS,A&M,Cashbook,Cashbook,Office supply
114,Bank fee for order 133 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
115,Bank fee for order 2 in RUB account in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
116,Bank fee for order 2 in RUB account in UZS SWIFT,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
117,Transfer from UZS account to Corp Card,A&M,Cashbook,Cashbook,TAXES - VAT
118,Bank fee for order 170 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
119,Bank fee for order 167 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
120,Bank fee for order 169 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
121,Bank fee for order 168 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
122,Bank fee for order 171 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
123,Bank fee for order 172 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
124,Bank fee for order 173 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
125,Bank fee for order 9786131840  in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
126,Bank fee for order 176  in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
127,Bank fee for order 174  in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
128,Bank fee for order 175  in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
129,Bank fee for order 178 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
130,Bank fee for order 179 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
131,Currency Exchange EUR UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
132,Intercompany loan,Alvarez and Marsal Europe Holdings Limited,Cashbook,Cashbook,Cashbook
133,Currency Exchange EUR RUB,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
134,Transfer from EUR account to RUB Account,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
135,Bank fee for order 183 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
136,Bank fee for order 184 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
137,Bank fee for Corp Card 200,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
138,Bank fee for Corp Card 201,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
139,Bank fee for order 299280731 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
140,Bank fee for order 299280732 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
141,Bank fee for order 185 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
142,Bank fee for order 187 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
143,Bank fee for order 186 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
144,Bank fee for order 725701 in EUR account,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
145,Bank fee for order 188 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
146,Bank fee for order 190 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
147,Bank fee for order 189 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
148,Bank fee for order 191 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
149,Bank fee for order 192 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
150,Bank fee for order 202 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
151,Transfer from UZS account to Transit account,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
152,Bank fee for order 204 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
153,Bank fee for order 201 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
154,Refund from Transit account to UZS account,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
155,Bank fee for order 227 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
156,Bank fee for order 226 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
157,Bank fee for order 228 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
158,Bank fee for order 229 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
159,Bank fee for order 232 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
160,Bank fee for order 221 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
161,Bank fee for order 220 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
162,Bank fee for order 235 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
